metric,severity_control,responder_count,n_pairs,mean_greedy_minus_global,bootstrap_ci_low,bootstrap_ci_high,permutation_p_value,holm_adjusted_p_value,effect_size_dz,global_win_rate_pct,tie_rate_pct
p90_response_s,0.12,12,100,140.0925986023401,84.777305910945,214.67123978153182,0.0001999600079984003,0.01279744051189762,0.4234242443079132,68.0,9.0
p90_response_s,0.12,14,100,115.43108207976314,79.12586665314129,151.57493996167906,0.0001999600079984003,0.01279744051189762,0.6083941313176463,69.0,14.000000000000002
p90_response_s,0.12,16,100,79.50160571917694,50.6052360609418,109.78097257290962,0.0001999600079984003,0.01279744051189762,0.5215333059140286,69.0,18.0
p90_response_s,0.12,20,100,35.88789398868996,14.060857613286698,59.13103444588765,0.001799640071985603,0.021595680863827234,0.30800583361852674,51.0,21.0
p90_response_s,0.12,24,100,16.25704355698025,-2.270487960519843,34.68303669507834,0.08238352329534093,0.10197960407918416,0.17212863758877128,36.0,31.0
p90_response_s,0.12,32,100,10.298937642145473,2.37339897004376,19.00958035693565,0.016996600679864027,0.10197960407918416,0.24275551220188546,34.0,43.0
p90_response_s,0.13,8,100,453.1830738130054,353.06465674239234,560.7377290622563,0.0001999600079984003,0.01279744051189762,0.8291875544406225,88.0,2.0
p90_response_s,0.13,10,100,244.54877449684065,183.53144603305813,313.2111742434063,0.0001999600079984003,0.01279744051189762,0.7079403428864287,75.0,8.0
p90_response_s,0.13,12,100,121.18204557162271,75.97138349836035,173.58326304039574,0.0001999600079984003,0.01279744051189762,0.4844505409850873,62.0,10.0
p90_response_s,0.13,14,100,79.62613177722757,42.34121058265202,116.72900226290815,0.0001999600079984003,0.01279744051189762,0.4239270335888369,63.0,12.0
p90_response_s,0.13,16,100,68.73924262089434,37.467193661153416,101.30291441755848,0.0003999200159968006,0.01279744051189762,0.4210327876102858,63.0,16.0
p90_response_s,0.13,20,100,34.10774737369463,13.402473599136954,57.14446352260312,0.001999600079984003,0.021995600879824034,0.31007063439469834,46.0,20.0
p90_response_s,0.13,24,100,17.54779023824253,3.6512539590079154,33.01121609508007,0.019396120775844832,0.10197960407918416,0.23328332795550952,35.0,31.0
p90_response_s,0.13,32,100,13.83236468208598,1.948860187767568,26.38878813339962,0.020595880823835233,0.10197960407918416,0.2315260471583981,33.0,43.0
p90_response_s,0.14,8,100,549.250661067595,435.8782877402204,672.510551229353,0.0001999600079984003,0.01279744051189762,0.9156972121926491,93.0,0.0
p90_response_s,0.14,10,100,266.1377377004083,195.62314270522575,342.8501020794673,0.0001999600079984003,0.01279744051189762,0.7134029703591024,76.0,6.0
p90_response_s,0.14,12,100,171.23689753409778,101.81235794885387,258.8442650177925,0.0001999600079984003,0.01279744051189762,0.42067483680476747,67.0,13.0
p90_response_s,0.14,14,100,93.81169604691765,45.48536556746771,148.05146306917368,0.0001999600079984003,0.01279744051189762,0.36237014165046044,62.0,12.0
p90_response_s,0.14,16,100,91.74495362586453,62.26361331298473,123.61063333551006,0.0001999600079984003,0.01279744051189762,0.5733456012796918,64.0,15.0
p90_response_s,0.14,20,100,44.10872546243821,22.690609191714167,68.74330731088875,0.0003999200159968006,0.01279744051189762,0.36787465601558816,52.0,19.0
p90_response_s,0.14,24,100,31.251542651882822,16.17152293075802,48.35254406879677,0.0001999600079984003,0.01279744051189762,0.3835090445399619,48.0,28.000000000000004
p90_response_s,0.14,32,100,22.364139362270475,11.066868520290013,35.11915880187265,0.0001999600079984003,0.01279744051189762,0.3588930842811431,37.0,39.0
p90_response_s,0.15,8,100,512.5908789279,414.2512105060052,620.4818560513114,0.0001999600079984003,0.01279744051189762,1.0072167240216956,96.0,0.0
p90_response_s,0.15,10,100,310.7931992367161,238.14933390771108,386.19899396927264,0.0001999600079984003,0.01279744051189762,0.8302588239293109,79.0,5.0
p90_response_s,0.15,12,100,170.68843317536806,95.94347439918315,266.1366025926394,0.0001999600079984003,0.01279744051189762,0.3893644686443594,68.0,7.000000000000001
p90_response_s,0.15,14,100,96.3952849211346,39.761168585443414,159.71119190528907,0.0007998400319936012,0.013597280543891222,0.31858286222235804,68.0,11.0
