severity_control,responder_count,realization,seed,algorithm,failed_directed_edges,incident_count,incidents,assigned,unreachable,reachability_pct,mean_response_s,median_response_s,p90_response_s,total_response_s,weighted_unmet_demand
0.15,14,0,6060,global_min_cost,1660,10,10,7,3,70.0,345.75431130961715,307.1911054170504,632.1258684617794,2420.28017916732,8
0.15,16,0,6060,greedy,1660,10,10,7,3,70.0,285.36003889116205,303.8167667726305,497.121747210624,1997.5202722381343,8
0.15,16,0,6060,global_min_cost,1660,10,10,7,3,70.0,285.36003889116205,295.4206579825143,461.5004086269002,1997.5202722381346,8
0.15,20,0,6060,greedy,1660,10,10,7,3,70.0,275.79713869050534,303.8167667726305,470.3456266487851,1930.5799708335371,8
0.15,20,0,6060,global_min_cost,1660,10,10,7,3,70.0,275.79713869050534,295.4206579825143,434.72428806506133,1930.5799708335376,8
0.15,24,0,6060,greedy,1660,10,10,7,3,70.0,204.67623859440943,179.02721086202254,331.2721177745626,1432.733670160866,8
0.15,24,0,6060,global_min_cost,1660,10,10,7,3,70.0,204.67623859440943,251.0001891903391,305.16650223039846,1432.7336701608663,8
0.15,32,0,6060,greedy,1660,10,10,8,2,80.0,241.2695128806508,191.92845925679197,462.44622084261266,1930.1561030452065,5
0.15,32,0,6060,global_min_cost,1660,10,10,8,2,80.0,239.94335887137544,189.15363062749293,462.44622084261266,1919.5468709710035,5
0.16,8,0,6060,greedy,1783,10,10,6,4,60.0,454.83476033113544,291.9874418532933,968.411990581059,2729.0085619868123,12
0.16,8,0,6060,global_min_cost,1783,10,10,6,4,60.0,357.70687794498804,383.5976079912954,654.5857021200775,2146.241267669928,11
0.16,10,0,6060,greedy,1783,10,10,7,3,70.0,543.766103859762,308.44155529841146,1202.8779389541828,3806.362727018334,8
0.16,10,0,6060,global_min_cost,1783,10,10,7,3,70.0,465.7410732969569,505.7263664362582,814.7730721674651,3260.1875130786984,8
0.16,12,0,6060,greedy,1783,10,10,7,3,70.0,515.8619839582841,308.44155529841146,1158.685669209294,3611.0338877079885,8
0.16,12,0,6060,global_min_cost,1783,10,10,7,3,70.0,403.9911209489574,460.0041105655404,732.6495193990031,2827.937846642702,8
0.16,14,0,6060,greedy,1783,10,10,7,3,70.0,380.05533081537385,308.44155529841146,697.2431877196184,2660.387315707617,8
0.16,14,0,6060,global_min_cost,1783,10,10,7,3,70.0,346.2290153427782,307.1911054170504,632.1258684617794,2423.6031073994473,8
0.16,16,0,6060,greedy,1783,10,10,7,3,70.0,339.9160655573356,308.44155529841146,594.8299855273895,2379.4124589013495,8
0.16,16,0,6060,global_min_cost,1783,10,10,7,3,70.0,306.08975008474,307.1911054170504,580.6215652384249,2142.62825059318,8
0.16,20,0,6060,greedy,1783,10,10,7,3,70.0,306.91834421011345,308.44155529841146,502.43636575516723,2148.428409470794,8
0.16,20,0,6060,global_min_cost,1783,10,10,7,3,70.0,296.5268498840833,307.1911054170504,553.845444676586,2075.687949188583,8
0.16,24,0,6060,greedy,1783,10,10,7,3,70.0,212.12786933494118,179.02721086202254,351.4671303073232,1484.895085344588,8
0.16,24,0,6060,global_min_cost,1783,10,10,7,3,70.0,212.12786933494118,179.02721086202254,351.4671303073232,1484.895085344588,8
0.16,32,0,6060,greedy,1783,10,10,8,2,80.0,242.27671943728873,192.56966136853453,467.1888946033454,1938.2137554983099,5
0.16,32,0,6060,global_min_cost,1783,10,10,8,2,80.0,240.95056542801333,189.15363062749293,467.1888946033454,1927.6045234241067,5
0.18,8,0,6060,greedy,2002,10,10,6,4,60.0,477.5658034260613,315.8475701987034,1001.2208464421672,2865.3948205563674,12
0.18,8,0,6060,global_min_cost,2002,10,10,6,4,60.0,365.00034265473846,315.22234525802287,664.1496890688793,2190.0020559284308,11
0.18,10,0,6060,greedy,2002,10,10,6,4,60.0,386.4075621122704,291.9874418532933,751.6062508462045,2318.4453726736224,12
0.18,10,0,6060,global_min_cost,2002,10,10,7,3,70.0,472.299283409618,505.7263664362582,838.7058736238661,3306.0949838673264,8
0.18,12,0,6060,greedy,2002,10,10,6,4,60.0,372.2662012875831,291.9874418532933,709.1821683721425,2233.5972077254983,12
0.18,12,0,6060,global_min_cost,2002,10,10,7,3,70.0,407.5100944290858,323.25358509899536,732.6495193990031,2852.570661003601,8
0.18,14,0,6060,greedy,2002,10,10,6,4,60.0,304.6129907129773,291.9874418532933,506.2225366483252,1827.6779442778636,12
0.18,14,0,6060,global_min_cost,2002,10,10,7,3,70.0,349.52162822228087,307.1911054170504,632.1258684617794,2446.651397555966,8
0.18,16,0,6060,greedy,2002,10,10,6,4,60.0,262.18113318266614,291.9874418532933,378.92696405739184,1573.0867990959969,12
0.18,16,0,6060,global_min_cost,2002,10,10,7,3,70.0,313.1514646248713,307.1911054170504,580.6215652384249,2192.060252374099,8
0.18,20,0,6060,greedy,2002,10,10,7,3,70.0,313.9800587502447,308.44155529841146,502.43636575516723,2197.8604112517132,8
0.18,20,0,6060,global_min_cost,2002,10,10,7,3,70.0,303.5885644242146,307.1911054170504,553.845444676586,2125.119950969502,8
0.18,24,0,6060,greedy,2002,10,10,7,3,70.0,227.14490837043778,202.07550101854116,370.53671657124335,1590.0143585930646,8
0.18,24,0,6060,global_min_cost,2002,10,10,7,3,70.0,227.1449083704378,251.0001891903391,370.0023906002672,1590.0143585930646,8
0.18,32,0,6060,greedy,2002,10,10,8,2,80.0,257.31965169240135,204.09380644679385,506.93092961842024,2058.557213539211,5
0.18,32,0,6060,global_min_cost,2002,10,10,8,2,80.0,256.1991170490332,201.50025316938115,506.93092961842024,2049.5929363922655,5
