severity_control,algorithm,responders_from,responders_to,responders_added,reachability_gain_pct_points,reachability_gain_per_added_responder,unmet_demand_reduction,collapse_probability_reduction_pct_points
0.15,greedy,20,24,4,0.7999999999999972,0.1999999999999993,0.22000000000000064,0.0
0.15,greedy,24,32,8,1.4000000000000057,0.1750000000000007,0.41999999999999993,0.0
0.16,global_min_cost,8,10,2,11.599999999999994,5.799999999999997,3.3200000000000003,0.0
0.16,global_min_cost,10,12,2,4.0,2.0,1.3600000000000003,0.0
0.16,global_min_cost,12,14,2,1.2000000000000028,0.6000000000000014,0.3799999999999999,0.0
0.16,global_min_cost,14,16,2,0.5999999999999943,0.29999999999999716,0.1200000000000001,0.0
0.16,global_min_cost,16,20,4,1.8000000000000114,0.45000000000000284,0.45999999999999996,0.0
0.16,global_min_cost,20,24,4,0.7999999999999972,0.1999999999999993,0.2599999999999998,0.0
0.16,global_min_cost,24,32,8,0.3999999999999915,0.049999999999998934,0.1200000000000001,0.0
0.16,greedy,8,10,2,11.400000000000006,5.700000000000003,3.54,0.0
0.16,greedy,10,12,2,4.200000000000003,2.1000000000000014,1.1399999999999997,0.0
0.16,greedy,12,14,2,0.7999999999999972,0.3999999999999986,0.14000000000000057,0.0
0.16,greedy,14,16,2,0.7999999999999972,0.3999999999999986,0.16000000000000014,0.0
0.16,greedy,16,20,4,2.200000000000003,0.5500000000000007,0.6599999999999993,0.0
0.16,greedy,20,24,4,1.0,0.25,0.3600000000000003,0.0
0.16,greedy,24,32,8,0.3999999999999915,0.049999999999998934,0.1200000000000001,0.0
0.18,global_min_cost,8,10,2,9.200000000000003,4.600000000000001,2.280000000000001,2.0
0.18,global_min_cost,10,12,2,6.3999999999999915,3.1999999999999957,1.9799999999999986,0.0
0.18,global_min_cost,12,14,2,3.0,1.5,0.9400000000000004,0.0
0.18,global_min_cost,14,16,2,1.8000000000000114,0.9000000000000057,0.5200000000000005,0.0
0.18,global_min_cost,16,20,4,2.5999999999999943,0.6499999999999986,0.6999999999999993,0.0
0.18,global_min_cost,20,24,4,1.0,0.25,0.2400000000000002,0.0
0.18,global_min_cost,24,32,8,1.0,0.125,0.28000000000000025,0.0
0.18,greedy,8,10,2,9.200000000000003,4.600000000000001,2.7399999999999984,2.0
0.18,greedy,10,12,2,6.3999999999999915,3.1999999999999957,1.5600000000000005,0.0
0.18,greedy,12,14,2,3.0,1.5,1.0,0.0
0.18,greedy,14,16,2,2.0,1.0,0.54,0.0
0.18,greedy,16,20,4,3.0,0.75,0.7999999999999998,0.0
0.18,greedy,20,24,4,1.2000000000000028,0.3000000000000007,0.34000000000000075,0.0
0.18,greedy,24,32,8,1.0,0.125,0.2599999999999998,0.0
0.2,global_min_cost,8,10,2,7.599999999999994,3.799999999999997,2.139999999999999,0.0
0.2,global_min_cost,10,12,2,5.6000000000000085,2.8000000000000043,1.4800000000000004,0.0
0.2,global_min_cost,12,14,2,3.3999999999999915,1.6999999999999957,1.1199999999999992,0.0
0.2,global_min_cost,14,16,2,2.6000000000000085,1.3000000000000043,0.8200000000000003,0.0
0.2,global_min_cost,16,20,4,2.5999999999999943,0.6499999999999986,0.5600000000000005,0.0
0.2,global_min_cost,20,24,4,3.200000000000003,0.8000000000000007,1.0999999999999996,0.0
0.2,global_min_cost,24,32,8,2.0,0.25,0.6000000000000005,0.0
0.2,greedy,8,10,2,7.399999999999999,3.6999999999999993,2.16,0.0
0.2,greedy,10,12,2,5.599999999999994,2.799999999999997,1.42,0.0
0.2,greedy,12,14,2,3.4000000000000057,1.7000000000000028,1.0199999999999996,0.0
0.2,greedy,14,16,2,2.5999999999999943,1.2999999999999972,0.6800000000000015,0.0
0.2,greedy,16,20,4,2.8000000000000114,0.7000000000000028,0.6399999999999988,0.0
0.2,greedy,20,24,4,3.1999999999999886,0.7999999999999972,0.9400000000000004,0.0
0.2,greedy,24,32,8,2.0,0.25,0.5800000000000001,0.0
