severity_control,responder_count,algorithm,n_realizations,mean_reachability_pct,mean_weighted_unmet_demand,mean_total_response_s,mean_p90_response_s,collapse_probability_pct,target_service_probability_pct,zero_assignment_probability_pct,mean_failed_directed_edges
0.16,10,greedy,50,77.2,6.54,6413.747473305568,1560.7709862929823,0.0,64.0,0.0,1825.32
0.16,12,global_min_cost,50,81.8,5.3,5108.047505331193,1186.7706523264965,0.0,76.0,0.0,1825.32
0.16,12,greedy,50,81.4,5.4,5584.286612248794,1321.169116212058,0.0,76.0,0.0,1825.32
0.16,14,global_min_cost,50,83.0,4.92,4432.76165684143,1016.2952819279179,0.0,78.0,0.0,1825.32
0.16,14,greedy,50,82.2,5.26,4619.384305934346,1066.153792121248,0.0,78.0,0.0,1825.32
0.16,16,global_min_cost,50,83.6,4.8,4158.6166103527985,969.4840678566885,0.0,82.0,0.0,1825.32
0.16,16,greedy,50,83.0,5.1,4321.781727797191,987.2436933852451,0.0,82.0,0.0,1825.32
0.16,20,global_min_cost,50,85.4,4.34,3475.962276764946,783.2968858293202,0.0,86.0,0.0,1825.32
0.16,20,greedy,50,85.2,4.44,3637.310174782595,815.1967933973222,0.0,86.0,0.0,1825.32
0.16,24,global_min_cost,50,86.2,4.08,2985.259497382716,671.0170378051564,0.0,86.0,0.0,1825.32
0.16,24,greedy,50,86.2,4.08,3127.708889191249,694.5387911979125,0.0,86.0,0.0,1825.32
0.16,32,global_min_cost,50,86.6,3.96,2394.4719509012984,505.43644239887175,0.0,88.0,0.0,1825.32
0.16,32,greedy,50,86.6,3.96,2444.8341468007698,514.1031036292404,0.0,88.0,0.0,1825.32
0.18,8,global_min_cost,50,58.0,12.32,4581.247275434023,1484.9263866344295,2.0,8.0,0.0,2045.72
0.18,8,greedy,50,57.2,12.62,5792.017412151882,1773.648407475341,2.0,8.0,0.0,2045.72
0.18,10,global_min_cost,50,67.2,10.04,4668.9907897891735,1320.9694295899556,0.0,30.0,0.0,2045.72
0.18,10,greedy,50,66.4,9.88,5643.423709898418,1573.6206973429682,0.0,30.0,0.0,2045.72
0.18,12,global_min_cost,50,73.6,8.06,4469.88995355177,1143.6544071824137,0.0,52.0,0.0,2045.72
0.18,12,greedy,50,72.8,8.32,5037.012016515916,1265.1875344149746,0.0,52.0,0.0,2045.72
0.18,14,global_min_cost,50,76.6,7.12,4046.5508668995344,1003.9989979125477,0.0,60.0,0.0,2045.72
0.18,14,greedy,50,75.8,7.32,4477.000926530455,1113.8105451386168,0.0,60.0,0.0,2045.72
0.18,16,global_min_cost,50,78.4,6.6,3557.1615325356315,862.8600120872497,0.0,64.0,0.0,2045.72
0.18,16,greedy,50,77.8,6.78,3922.699546676497,951.9118280155707,0.0,64.0,0.0,2045.72
0.18,20,global_min_cost,50,81.0,5.9,3032.266252200988,691.3187439958431,0.0,70.0,0.0,2045.72
0.18,20,greedy,50,80.8,5.98,3232.338411935514,741.7888694778184,0.0,70.0,0.0,2045.72
0.18,24,global_min_cost,50,82.0,5.66,2610.1758407501884,579.4677118491516,0.0,72.0,0.0,2045.72
0.18,24,greedy,50,82.0,5.64,2762.6445208233204,619.2885882116175,0.0,72.0,0.0,2045.72
0.18,32,global_min_cost,50,83.0,5.38,2200.9621303504073,475.2526533950236,0.0,76.0,0.0,2045.72
0.18,32,greedy,50,83.0,5.38,2279.8830680456363,483.8101972942761,0.0,76.0,0.0,2045.72
0.2,8,global_min_cost,50,52.2,14.12,3455.8720995075037,1159.3560948740235,0.0,0.0,0.0,2271.86
0.2,8,greedy,50,51.6,13.9,4095.649825897564,1397.887156329945,0.0,0.0,0.0,2271.86
0.2,10,global_min_cost,50,59.8,11.98,3861.9551350150778,1161.3003986546405,0.0,16.0,0.0,2271.86
0.2,10,greedy,50,59.0,11.74,4402.841937841071,1324.155931715346,0.0,16.0,0.0,2271.86
0.2,12,global_min_cost,50,65.4,10.5,3942.7096970882967,1095.8449022896896,0.0,22.0,0.0,2271.86
0.2,12,greedy,50,64.6,10.32,4466.051452403043,1258.3895101976177,0.0,18.0,0.0,2271.86
0.2,14,global_min_cost,50,68.8,9.38,3752.9096699866413,1024.668525158099,0.0,34.0,0.0,2271.86
0.2,14,greedy,50,68.0,9.3,4130.8529338142735,1132.0898862117103,0.0,30.0,0.0,2271.86
0.2,16,global_min_cost,50,71.4,8.56,3604.2812419004476,979.7452532700985,0.0,40.0,0.0,2271.86
0.2,16,greedy,50,70.6,8.62,3913.41786873771,1038.944880292222,0.0,38.0,0.0,2271.86
0.2,20,global_min_cost,50,74.0,8.0,3225.4519587938876,835.6951734211601,0.0,50.0,0.0,2271.86
0.2,20,greedy,50,73.4,7.98,3416.1058162557706,869.2756780422542,0.0,46.0,0.0,2271.86
0.2,24,global_min_cost,50,77.2,6.9,2922.730329372911,739.1773118219876,0.0,60.0,0.0,2271.86
0.2,24,greedy,50,76.6,7.04,3064.5538933601165,766.0986098087831,0.0,56.00000000000001,0.0,2271.86
0.2,32,global_min_cost,50,79.2,6.3,2422.7316656590515,569.8969774784475,0.0,66.0,0.0,2271.86
0.2,32,greedy,50,78.6,6.46,2572.8678494784454,618.5834394139044,0.0,62.0,0.0,2271.86
